,E_lepton,E_hadron,lepton,hadron,col,t,Q2,xB,phi,deg/rad,bin,obs,units,value,err_low,err_high,err_u
60,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,15,deg,5,deltad4SigLU,pb GeV^-4,-12.3844,14.6935,14.0386,14.6935
61,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,45,deg,5,deltad4SigLU,pb GeV^-4,1.05928,11.2254,11.6871,11.6871
62,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,75,deg,5,deltad4SigLU,pb GeV^-4,-9.3325,7.03774,6.89813,7.03774
63,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,105,deg,5,deltad4SigLU,pb GeV^-4,-4.53036,7.34724,7.26829,7.34724
64,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,135,deg,5,deltad4SigLU,pb GeV^-4,5.26974,6.7001,7.14057,7.14057
65,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,165,deg,5,deltad4SigLU,pb GeV^-4,-2.74286,7.22645,7.30092,7.30092
66,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,195,deg,5,deltad4SigLU,pb GeV^-4,-1.78201,5.47762,5.51851,5.51851
67,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,225,deg,5,deltad4SigLU,pb GeV^-4,-7.94628,6.66383,6.69239,6.69239
68,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,255,deg,5,deltad4SigLU,pb GeV^-4,-2.69259,6.9818,7.15692,7.15692
69,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,285,deg,5,deltad4SigLU,pb GeV^-4,-16.2684,12.3512,11.7101,12.3512
70,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,315,deg,5,deltad4SigLU,pb GeV^-4,-5.64413,9.42318,9.01075,9.42318
71,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,345,deg,5,deltad4SigLU,pb GeV^-4,14.211,15.7626,13.3388,15.7626
72,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,15,deg,6,deltad4SigLU,pb GeV^-4,4.72938,8.52148,10.1087,10.1087
73,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,45,deg,6,deltad4SigLU,pb GeV^-4,5.80269,5.34154,6.12561,6.12561
74,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,75,deg,6,deltad4SigLU,pb GeV^-4,7.34308,5.17957,5.15569,5.17957
75,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,105,deg,6,deltad4SigLU,pb GeV^-4,1.12629,3.87003,4.04064,4.04064
76,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,135,deg,6,deltad4SigLU,pb GeV^-4,2.16727,2.17109,2.29818,2.29818
77,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,165,deg,6,deltad4SigLU,pb GeV^-4,4.27088,4.5722,4.405,4.5722
