,xB,t,Q2,phi,deg/rad,obs,value,units,stat+syst_u,col,lepton,E_lepton,hadron,E_hadron
65,0.0807988,-0.290144,1.17243,0.838689,deg,ALU,0.151797,none,0.0160885,CLAS,e-,10.6,p,0.93827208816
66,0.077822,-0.27682,1.16058,1.01653,deg,ALU,0.243558,none,0.0293341,CLAS,e-,10.6,p,0.93827208816
67,0.0794614,-0.266789,1.15752,1.20399,deg,ALU,0.0223399,none,0.090008,CLAS,e-,10.6,p,0.93827208816
68,0.109139,-0.269775,1.17993,1.66148,deg,ALU,-0.00221551,none,0.104319,CLAS,e-,10.6,p,0.93827208816
69,0.105193,-0.282053,1.17775,1.98642,deg,ALU,0.281879,none,0.0738019,CLAS,e-,10.6,p,0.93827208816
70,0.0990637,-0.282608,1.19032,2.17685,deg,ALU,0.0733999,none,0.0624361,CLAS,e-,10.6,p,0.93827208816
71,0.0991781,-0.287712,1.17825,2.36301,deg,ALU,0.0198674,none,0.056601,CLAS,e-,10.6,p,0.93827208816
72,0.0977675,-0.286829,1.16553,2.54381,deg,ALU,0.0534143,none,0.0465421,CLAS,e-,10.6,p,0.93827208816
73,0.0980207,-0.290999,1.16364,2.73853,deg,ALU,0.0682335,none,0.0431187,CLAS,e-,10.6,p,0.93827208816
74,0.0990926,-0.293541,1.16575,2.91769,deg,ALU,-0.0629471,none,0.0442703,CLAS,e-,10.6,p,0.93827208816
75,0.0974128,-0.292064,1.16598,3.10788,deg,ALU,-0.0157314,none,0.0517939,CLAS,e-,10.6,p,0.93827208816
76,0.100705,-0.299482,1.17028,3.29329,deg,ALU,-0.141388,none,0.0649158,CLAS,e-,10.6,p,0.93827208816
77,0.102638,-0.287217,1.15603,3.48098,deg,ALU,-0.0911124,none,0.0758307,CLAS,e-,10.6,p,0.93827208816
78,0.105614,-0.29216,1.16443,3.67478,deg,ALU,-0.0686843,none,0.0806255,CLAS,e-,10.6,p,0.93827208816
79,0.10888,-0.292217,1.15963,3.85568,deg,ALU,-0.0931732,none,0.101286,CLAS,e-,10.6,p,0.93827208816
80,0.100799,-0.317961,1.18945,4.11518,deg,ALU,-0.0423303,none,0.119326,CLAS,e-,10.6,p,0.93827208816
81,0.0938232,-0.313982,1.1914,4.37187,deg,ALU,0.00519163,none,0.0854588,CLAS,e-,10.6,p,0.93827208816
82,0.0987415,-0.318627,1.17674,4.55503,deg,ALU,-0.328399,none,0.0790022,CLAS,e-,10.6,p,0.93827208816
83,0.102587,-0.306225,1.16942,4.74301,deg,ALU,-0.199469,none,0.0719668,CLAS,e-,10.6,p,0.93827208816
84,0.0992428,-0.301803,1.15107,4.93324,deg,ALU,-0.326399,none,0.0710539,CLAS,e-,10.6,p,0.93827208816
85,0.0854947,-0.273451,1.15937,5.13405,deg,ALU,-0.187768,none,0.0500894,CLAS,e-,10.6,p,0.93827208816
86,0.0812401,-0.27661,1.16632,5.32071,deg,ALU,-0.192162,none,0.026398,CLAS,e-,10.6,p,0.93827208816
87,0.0835805,-0.291959,1.17431,5.50132,deg,ALU,-0.13929,none,0.0178284,CLAS,e-,10.6,p,0.93827208816
88,0.0941907,-0.297287,1.1806,5.6843,deg,ALU,-0.171694,none,0.0162628,CLAS,e-,10.6,p,0.93827208816
89,0.107313,-0.295745,1.18051,5.86955,deg,ALU,-0.136432,none,0.0172189,CLAS,e-,10.6,p,0.93827208816
90,0.11663,-0.275533,1.16429,6.10438,deg,ALU,-0.0298932,none,0.0168785,CLAS,e-,10.6,p,0.93827208816
91,0.150329,-0.336353,1.23047,0.0911475,deg,ALU,0.066987,none,0.0306045,CLAS,e-,10.6,p,0.93827208816
92,0.154073,-0.326971,1.2435,0.259429,deg,ALU,0.112146,none,0.0454023,CLAS,e-,10.6,p,0.93827208816
93,0.17595,-0.309014,1.23258,0.646306,deg,ALU,0.2223,none,0.0765077,CLAS,e-,10.6,p,0.93827208816
94,0.163564,-0.323208,1.19053,1.27152,deg,ALU,0.0895558,none,0.123115,CLAS,e-,10.6,p,0.93827208816
95,0.166943,-0.303842,1.21836,1.7517,deg,ALU,0.133169,none,0.117604,CLAS,e-,10.6,p,0.93827208816
96,0.160472,-0.305723,1.18751,1.97004,deg,ALU,0.229122,none,0.103194,CLAS,e-,10.6,p,0.93827208816
97,0.160234,-0.30405,1.19514,2.16303,deg,ALU,0.151947,none,0.111326,CLAS,e-,10.6,p,0.93827208816
98,0.158525,-0.307527,1.21379,2.36362,deg,ALU,0.0154519,none,0.112687,CLAS,e-,10.6,p,0.93827208816
99,0.153711,-0.310683,1.21661,2.55042,deg,ALU,0.023972,none,0.0854336,CLAS,e-,10.6,p,0.93827208816
100,0.153274,-0.311731,1.22663,2.73375,deg,ALU,0.173589,none,0.084495,CLAS,e-,10.6,p,0.93827208816
101,0.151686,-0.315304,1.20748,2.91244,deg,ALU,-0.180139,none,0.100208,CLAS,e-,10.6,p,0.93827208816
102,0.153405,-0.322646,1.20037,3.10497,deg,ALU,0.0458699,none,0.0841583,CLAS,e-,10.6,p,0.93827208816
103,0.153378,-0.309154,1.20439,3.29864,deg,ALU,-0.0561159,none,0.107109,CLAS,e-,10.6,p,0.93827208816
104,0.154762,-0.320523,1.18909,3.4922,deg,ALU,-0.0842423,none,0.0887338,CLAS,e-,10.6,p,0.93827208816
105,0.155232,-0.309865,1.2181,3.67071,deg,ALU,0.107171,none,0.0969639,CLAS,e-,10.6,p,0.93827208816
106,0.161021,-0.314325,1.1904,3.89175,deg,ALU,-0.0153734,none,0.109757,CLAS,e-,10.6,p,0.93827208816
107,0.160814,-0.312265,1.20404,4.21246,deg,ALU,0.0282101,none,0.125664,CLAS,e-,10.6,p,0.93827208816
108,0.161629,-0.350276,1.19125,4.58237,deg,ALU,-0.231368,none,0.14966,CLAS,e-,10.6,p,0.93827208816
109,0.159915,-0.342031,1.19104,4.87839,deg,ALU,-0.291731,none,0.125978,CLAS,e-,10.6,p,0.93827208816
110,0.157857,-0.32817,1.18958,5.19677,deg,ALU,-0.333396,none,0.107416,CLAS,e-,10.6,p,0.93827208816
111,0.154655,-0.348686,1.18489,5.44171,deg,ALU,-0.308636,none,0.0955393,CLAS,e-,10.6,p,0.93827208816
112,0.153523,-0.369079,1.19651,5.70817,deg,ALU,-0.279221,none,0.086342,CLAS,e-,10.6,p,0.93827208816
113,0.147092,-0.342307,1.23062,6.15069,deg,ALU,-0.0272579,none,0.0277363,CLAS,e-,10.6,p,0.93827208816
114,0.234882,-0.330858,1.2123,0.0906475,deg,ALU,-0.0168883,none,0.0886718,CLAS,e-,10.6,p,0.93827208816
115,0.241202,-0.320014,1.24987,0.332238,deg,ALU,0.241084,none,0.0755443,CLAS,e-,10.6,p,0.93827208816
116,0.248088,-0.326206,1.26973,0.846918,deg,ALU,0.108479,none,0.157647,CLAS,e-,10.6,p,0.93827208816
117,0.231327,-0.355053,1.19305,2.01832,deg,ALU,0.103166,none,0.197125,CLAS,e-,10.6,p,0.93827208816
118,0.242437,-0.359478,1.2464,4.61031,deg,ALU,-0.35183,none,0.296074,CLAS,e-,10.6,p,0.93827208816
119,0.23765,-0.376674,1.20145,5.3033,deg,ALU,-0.00844682,none,0.150572,CLAS,e-,10.6,p,0.93827208816
120,0.240991,-0.330393,1.24102,6.10745,deg,ALU,-0.067066,none,0.0715668,CLAS,e-,10.6,p,0.93827208816
121,0.100203,-0.677204,1.07899,0.259406,deg,ALU,0.0184197,none,0.0568613,CLAS,e-,10.6,p,0.93827208816
122,0.101123,-0.605954,1.15545,0.42126,deg,ALU,0.107098,none,0.0165088,CLAS,e-,10.6,p,0.93827208816
123,0.0884375,-0.539581,1.1817,0.591279,deg,ALU,0.0659403,none,0.0162303,CLAS,e-,10.6,p,0.93827208816
124,0.0835573,-0.496122,1.17953,0.766538,deg,ALU,0.0887407,none,0.0298377,CLAS,e-,10.6,p,0.93827208816
