,Unnamed: 0,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,%norm_c,col,lepton,E_lepton,hadron,E_hadron
92,92,0.391,-0.323,1.608,307.5,deg,deltad4SigLU,1.8,pb GeV^-4,6.7,+0.0/-4.2,3.4,Hall A,e-,5.7572,p,0.93827208816
93,93,0.391,-0.323,1.608,322.5,deg,deltad4SigLU,-15.0,pb GeV^-4,9.4,+7.9/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
94,94,0.391,-0.323,1.608,337.5,deg,deltad4SigLU,-8.7,pb GeV^-4,12.8,+9.5/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
95,95,0.391,-0.323,1.608,352.5,deg,deltad4SigLU,-10.2,pb GeV^-4,15.5,+0.0/-7.2,3.4,Hall A,e-,5.7572,p,0.93827208816
96,96,0.399,-0.37,1.633,7.5,deg,deltad4SigLU,12.7,pb GeV^-4,20.7,+0.0/-6.2,3.4,Hall A,e-,5.7572,p,0.93827208816
97,97,0.399,-0.37,1.633,22.5,deg,deltad4SigLU,25.7,pb GeV^-4,16.3,+2.6/-1.3,3.4,Hall A,e-,5.7572,p,0.93827208816
98,98,0.399,-0.37,1.633,37.5,deg,deltad4SigLU,25.2,pb GeV^-4,11.2,+0.0/-2.1,3.4,Hall A,e-,5.7572,p,0.93827208816
99,99,0.399,-0.37,1.633,52.5,deg,deltad4SigLU,16.3,pb GeV^-4,8.3,+2.6/-1.8,3.4,Hall A,e-,5.7572,p,0.93827208816
100,100,0.399,-0.37,1.633,67.5,deg,deltad4SigLU,11.7,pb GeV^-4,6.2,+0.0/-6.8,3.4,Hall A,e-,5.7572,p,0.93827208816
101,101,0.399,-0.37,1.633,82.5,deg,deltad4SigLU,6.9,pb GeV^-4,4.9,+0.6/-2.2,3.4,Hall A,e-,5.7572,p,0.93827208816
102,102,0.399,-0.37,1.633,97.5,deg,deltad4SigLU,18.9,pb GeV^-4,4.7,+1.4/-2.3,3.4,Hall A,e-,5.7572,p,0.93827208816
103,103,0.399,-0.37,1.633,112.5,deg,deltad4SigLU,2.2,pb GeV^-4,4.7,+4.8/-0.8,3.4,Hall A,e-,5.7572,p,0.93827208816
104,104,0.399,-0.37,1.633,127.5,deg,deltad4SigLU,7.1,pb GeV^-4,5.8,+0.3/-7.2,3.4,Hall A,e-,5.7572,p,0.93827208816
105,105,0.399,-0.37,1.633,142.5,deg,deltad4SigLU,-1.5,pb GeV^-4,7.1,+4.4/-2.8,3.4,Hall A,e-,5.7572,p,0.93827208816
106,106,0.399,-0.37,1.633,157.5,deg,deltad4SigLU,9.1,pb GeV^-4,10.9,+3.5/-4.0,3.4,Hall A,e-,5.7572,p,0.93827208816
107,107,0.399,-0.37,1.633,172.5,deg,deltad4SigLU,-18.3,pb GeV^-4,23.5,+0.0/-4.1,3.4,Hall A,e-,5.7572,p,0.93827208816
108,108,0.399,-0.37,1.633,187.5,deg,deltad4SigLU,-28.1,pb GeV^-4,15.5,+5.6/-7.0,3.4,Hall A,e-,5.7572,p,0.93827208816
109,109,0.399,-0.37,1.633,202.5,deg,deltad4SigLU,0.6,pb GeV^-4,9.0,+0.0/-8.1,3.4,Hall A,e-,5.7572,p,0.93827208816
110,110,0.399,-0.37,1.633,217.5,deg,deltad4SigLU,0.1,pb GeV^-4,7.4,+2.3/-0.8,3.4,Hall A,e-,5.7572,p,0.93827208816
111,111,0.399,-0.37,1.633,232.5,deg,deltad4SigLU,-1.9,pb GeV^-4,5.6,+2.3/-0.2,3.4,Hall A,e-,5.7572,p,0.93827208816
112,112,0.399,-0.37,1.633,247.5,deg,deltad4SigLU,-10.9,pb GeV^-4,5.1,+0.8/-1.3,3.4,Hall A,e-,5.7572,p,0.93827208816
113,113,0.399,-0.37,1.633,262.5,deg,deltad4SigLU,-5.5,pb GeV^-4,4.6,+0.3/-5.1,3.4,Hall A,e-,5.7572,p,0.93827208816
114,114,0.399,-0.37,1.633,277.5,deg,deltad4SigLU,-5.8,pb GeV^-4,4.9,+0.9/-0.5,3.4,Hall A,e-,5.7572,p,0.93827208816
115,115,0.399,-0.37,1.633,292.5,deg,deltad4SigLU,-11.7,pb GeV^-4,6.1,+9.2/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
116,116,0.399,-0.37,1.633,307.5,deg,deltad4SigLU,-11.7,pb GeV^-4,7.8,+2.6/-0.9,3.4,Hall A,e-,5.7572,p,0.93827208816
117,117,0.399,-0.37,1.633,322.5,deg,deltad4SigLU,-14.9,pb GeV^-4,11.7,+6.7/-0.5,3.4,Hall A,e-,5.7572,p,0.93827208816
118,118,0.399,-0.37,1.633,337.5,deg,deltad4SigLU,-28.7,pb GeV^-4,20.1,+6.1/-0.6,3.4,Hall A,e-,5.7572,p,0.93827208816
119,119,0.399,-0.37,1.633,352.5,deg,deltad4SigLU,-43.5,pb GeV^-4,23.1,+8.2/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
120,120,0.343,-0.172,1.82,7.5,deg,deltad4SigLU,-1.0,pb GeV^-4,6.0,+1.0/-1.1,3.4,Hall A,e-,5.7572,p,0.93827208816
121,121,0.343,-0.172,1.82,22.5,deg,deltad4SigLU,12.2,pb GeV^-4,5.7,+2.3/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
122,122,0.343,-0.172,1.82,37.5,deg,deltad4SigLU,16.8,pb GeV^-4,4.9,+2.6/-0.5,3.4,Hall A,e-,5.7572,p,0.93827208816
123,123,0.343,-0.172,1.82,52.5,deg,deltad4SigLU,15.3,pb GeV^-4,4.5,+1.9/-0.9,3.4,Hall A,e-,5.7572,p,0.93827208816
124,124,0.343,-0.172,1.82,67.5,deg,deltad4SigLU,15.8,pb GeV^-4,4.3,+0.5/-1.2,3.4,Hall A,e-,5.7572,p,0.93827208816
125,125,0.343,-0.172,1.82,82.5,deg,deltad4SigLU,20.5,pb GeV^-4,3.9,+2.0/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
126,126,0.343,-0.172,1.82,97.5,deg,deltad4SigLU,15.1,pb GeV^-4,3.6,+3.8/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
127,127,0.343,-0.172,1.82,112.5,deg,deltad4SigLU,6.7,pb GeV^-4,3.4,+0.0/-1.7,3.4,Hall A,e-,5.7572,p,0.93827208816
128,128,0.343,-0.172,1.82,127.5,deg,deltad4SigLU,14.9,pb GeV^-4,3.2,+0.0/-1.1,3.4,Hall A,e-,5.7572,p,0.93827208816
129,129,0.343,-0.172,1.82,142.5,deg,deltad4SigLU,6.9,pb GeV^-4,3.0,+2.4/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
130,130,0.343,-0.172,1.82,157.5,deg,deltad4SigLU,5.7,pb GeV^-4,3.0,+1.5/-0.9,3.4,Hall A,e-,5.7572,p,0.93827208816
131,131,0.343,-0.172,1.82,172.5,deg,deltad4SigLU,0.7,pb GeV^-4,2.9,+2.0/-1.0,3.4,Hall A,e-,5.7572,p,0.93827208816
132,132,0.343,-0.172,1.82,187.5,deg,deltad4SigLU,-0.3,pb GeV^-4,2.9,+1.4/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
133,133,0.343,-0.172,1.82,202.5,deg,deltad4SigLU,-6.5,pb GeV^-4,3.0,+1.6/-0.7,3.4,Hall A,e-,5.7572,p,0.93827208816
134,134,0.343,-0.172,1.82,217.5,deg,deltad4SigLU,-8.1,pb GeV^-4,3.1,+0.0/-1.9,3.4,Hall A,e-,5.7572,p,0.93827208816
135,135,0.343,-0.172,1.82,232.5,deg,deltad4SigLU,-9.2,pb GeV^-4,3.1,+0.4/-1.5,3.4,Hall A,e-,5.7572,p,0.93827208816
136,136,0.343,-0.172,1.82,247.5,deg,deltad4SigLU,-11.8,pb GeV^-4,3.2,+3.2/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
137,137,0.343,-0.172,1.82,262.5,deg,deltad4SigLU,-17.5,pb GeV^-4,3.4,+3.0/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
138,138,0.343,-0.172,1.82,277.5,deg,deltad4SigLU,-16.0,pb GeV^-4,3.8,+0.5/-1.4,3.4,Hall A,e-,5.7572,p,0.93827208816
139,139,0.343,-0.172,1.82,292.5,deg,deltad4SigLU,-17.2,pb GeV^-4,4.0,+2.6/-0.4,3.4,Hall A,e-,5.7572,p,0.93827208816
140,140,0.343,-0.172,1.82,307.5,deg,deltad4SigLU,-16.3,pb GeV^-4,4.5,+1.7/-0.6,3.4,Hall A,e-,5.7572,p,0.93827208816
141,141,0.343,-0.172,1.82,322.5,deg,deltad4SigLU,-11.6,pb GeV^-4,4.9,+0.7/-1.3,3.4,Hall A,e-,5.7572,p,0.93827208816
142,142,0.343,-0.172,1.82,337.5,deg,deltad4SigLU,-1.9,pb GeV^-4,5.5,+2.7/-1.0,3.4,Hall A,e-,5.7572,p,0.93827208816
143,143,0.343,-0.172,1.82,352.5,deg,deltad4SigLU,-3.6,pb GeV^-4,5.9,+0.0/-2.2,3.4,Hall A,e-,5.7572,p,0.93827208816
144,144,0.368,-0.232,1.933,7.5,deg,deltad4SigLU,3.1,pb GeV^-4,6.1,+0.0/-4.8,3.4,Hall A,e-,5.7572,p,0.93827208816
145,145,0.368,-0.232,1.933,22.5,deg,deltad4SigLU,-1.9,pb GeV^-4,5.4,+1.9/-1.4,3.4,Hall A,e-,5.7572,p,0.93827208816
146,146,0.368,-0.232,1.933,37.5,deg,deltad4SigLU,12.0,pb GeV^-4,4.5,+1.6/-2.0,3.4,Hall A,e-,5.7572,p,0.93827208816
147,147,0.368,-0.232,1.933,52.5,deg,deltad4SigLU,19.3,pb GeV^-4,4.2,+0.1/-0.9,3.4,Hall A,e-,5.7572,p,0.93827208816
148,148,0.368,-0.232,1.933,67.5,deg,deltad4SigLU,14.4,pb GeV^-4,3.7,+0.1/-3.0,3.4,Hall A,e-,5.7572,p,0.93827208816
149,149,0.368,-0.232,1.933,82.5,deg,deltad4SigLU,10.8,pb GeV^-4,3.2,+0.2/-3.1,3.4,Hall A,e-,5.7572,p,0.93827208816
150,150,0.368,-0.232,1.933,97.5,deg,deltad4SigLU,8.6,pb GeV^-4,2.8,+2.6/-0.5,3.4,Hall A,e-,5.7572,p,0.93827208816
151,151,0.368,-0.232,1.933,112.5,deg,deltad4SigLU,4.3,pb GeV^-4,2.7,+1.6/-0.7,3.4,Hall A,e-,5.7572,p,0.93827208816
152,152,0.368,-0.232,1.933,127.5,deg,deltad4SigLU,7.2,pb GeV^-4,2.4,+0.4/-1.0,3.4,Hall A,e-,5.7572,p,0.93827208816
153,153,0.368,-0.232,1.933,142.5,deg,deltad4SigLU,7.0,pb GeV^-4,2.3,+0.0/-0.5,3.4,Hall A,e-,5.7572,p,0.93827208816
154,154,0.368,-0.232,1.933,157.5,deg,deltad4SigLU,6.2,pb GeV^-4,2.3,+1.3/-0.7,3.4,Hall A,e-,5.7572,p,0.93827208816
155,155,0.368,-0.232,1.933,172.5,deg,deltad4SigLU,0.4,pb GeV^-4,2.2,+0.0/-1.5,3.4,Hall A,e-,5.7572,p,0.93827208816
156,156,0.368,-0.232,1.933,187.5,deg,deltad4SigLU,-0.7,pb GeV^-4,2.2,+1.4/-0.0,3.4,Hall A,e-,5.7572,p,0.93827208816
157,157,0.368,-0.232,1.933,202.5,deg,deltad4SigLU,-1.4,pb GeV^-4,2.3,+0.0/-2.1,3.4,Hall A,e-,5.7572,p,0.93827208816
158,158,0.368,-0.232,1.933,217.5,deg,deltad4SigLU,-2.6,pb GeV^-4,2.3,+0.0/-2.2,3.4,Hall A,e-,5.7572,p,0.93827208816
