,Unnamed: 0,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
109,109,0.364,-0.418,3.18,202.5,deg,deltad4SigLU,-0.00148,nb GeV^-4,0.00077,+0.000530/-0.000180,Hall A,e-,7.38,p,0.93827208816
110,110,0.364,-0.418,3.18,217.5,deg,deltad4SigLU,-0.00111,nb GeV^-4,0.00059,+0.000230/-0.000120,Hall A,e-,7.38,p,0.93827208816
111,111,0.364,-0.418,3.18,232.5,deg,deltad4SigLU,-0.00032,nb GeV^-4,0.00056,+0.000210/-0.000260,Hall A,e-,7.38,p,0.93827208816
112,112,0.364,-0.418,3.18,247.5,deg,deltad4SigLU,-0.00175,nb GeV^-4,0.00058,+0.000470/-0.000065,Hall A,e-,7.38,p,0.93827208816
113,113,0.364,-0.418,3.18,262.5,deg,deltad4SigLU,-0.0033,nb GeV^-4,0.00076,+0.000420/-0.000390,Hall A,e-,7.38,p,0.93827208816
114,114,0.364,-0.418,3.18,277.5,deg,deltad4SigLU,-0.00259,nb GeV^-4,0.00091,+0.000410/-0.000310,Hall A,e-,7.38,p,0.93827208816
115,115,0.364,-0.418,3.18,292.5,deg,deltad4SigLU,-0.00304,nb GeV^-4,0.0011,+0.000280/-0.000490,Hall A,e-,7.38,p,0.93827208816
116,116,0.364,-0.418,3.18,307.5,deg,deltad4SigLU,-0.004,nb GeV^-4,0.0016,+0.000430/-0.001000,Hall A,e-,7.38,p,0.93827208816
117,117,0.364,-0.418,3.18,322.5,deg,deltad4SigLU,-0.004,nb GeV^-4,0.0027,+0.000880/-0.001000,Hall A,e-,7.38,p,0.93827208816
118,118,0.364,-0.418,3.18,337.5,deg,deltad4SigLU,-0.009,nb GeV^-4,0.0088,+0.002300/-0.003600,Hall A,e-,7.38,p,0.93827208816
119,119,0.364,-0.418,3.18,352.5,deg,deltad4SigLU,-0.00109,nb GeV^-4,0.032,+0.000090/-0.014000,Hall A,e-,7.38,p,0.93827208816
120,120,0.367,-0.0316,3.65,7.5,deg,deltad4SigLU,4.67e-05,nb GeV^-4,0.0008,+0.000250/-0.000280,Hall A,e-,8.52,p,0.93827208816
121,121,0.367,-0.0316,3.65,22.5,deg,deltad4SigLU,0.002,nb GeV^-4,0.0009,+0.000450/-0.000210,Hall A,e-,8.52,p,0.93827208816
122,122,0.367,-0.0316,3.65,37.5,deg,deltad4SigLU,0.00121,nb GeV^-4,0.00094,+0.000350/-0.000280,Hall A,e-,8.52,p,0.93827208816
123,123,0.367,-0.0316,3.65,52.5,deg,deltad4SigLU,0.0025,nb GeV^-4,0.00093,+0.000140/-0.000380,Hall A,e-,8.52,p,0.93827208816
124,124,0.367,-0.0316,3.65,67.5,deg,deltad4SigLU,0.00524,nb GeV^-4,0.00093,+0.000520/-0.000190,Hall A,e-,8.52,p,0.93827208816
125,125,0.367,-0.0316,3.65,82.5,deg,deltad4SigLU,0.00447,nb GeV^-4,0.00088,+0.000700/-0.000520,Hall A,e-,8.52,p,0.93827208816
126,126,0.367,-0.0316,3.65,97.5,deg,deltad4SigLU,0.00504,nb GeV^-4,0.00087,+0.000380/-0.000630,Hall A,e-,8.52,p,0.93827208816
127,127,0.367,-0.0316,3.65,112.5,deg,deltad4SigLU,0.00366,nb GeV^-4,0.00083,+0.000300/-0.000240,Hall A,e-,8.52,p,0.93827208816
128,128,0.367,-0.0316,3.65,127.5,deg,deltad4SigLU,0.00255,nb GeV^-4,0.0008,+0.000250/-0.000087,Hall A,e-,8.52,p,0.93827208816
129,129,0.367,-0.0316,3.65,142.5,deg,deltad4SigLU,0.00211,nb GeV^-4,0.00074,+0.000270/-0.000460,Hall A,e-,8.52,p,0.93827208816
130,130,0.367,-0.0316,3.65,157.5,deg,deltad4SigLU,0.0018,nb GeV^-4,0.00069,+0.000420/-0.000120,Hall A,e-,8.52,p,0.93827208816
131,131,0.367,-0.0316,3.65,172.5,deg,deltad4SigLU,0.000316,nb GeV^-4,0.00057,+0.000320/-0.000250,Hall A,e-,8.52,p,0.93827208816
132,132,0.367,-0.0316,3.65,187.5,deg,deltad4SigLU,-0.00159,nb GeV^-4,0.0011,+0.000260/-0.000360,Hall A,e-,8.52,p,0.93827208816
133,133,0.367,-0.0316,3.65,202.5,deg,deltad4SigLU,-0.000766,nb GeV^-4,0.00088,+0.000290/-0.000032,Hall A,e-,8.52,p,0.93827208816
134,134,0.367,-0.0316,3.65,217.5,deg,deltad4SigLU,-0.000984,nb GeV^-4,0.00082,+0.000230/-0.000150,Hall A,e-,8.52,p,0.93827208816
135,135,0.367,-0.0316,3.65,232.5,deg,deltad4SigLU,-0.00546,nb GeV^-4,0.00086,+0.000300/-0.000240,Hall A,e-,8.52,p,0.93827208816
136,136,0.367,-0.0316,3.65,247.5,deg,deltad4SigLU,-0.00248,nb GeV^-4,0.00086,+0.000320/-0.000310,Hall A,e-,8.52,p,0.93827208816
137,137,0.367,-0.0316,3.65,262.5,deg,deltad4SigLU,-0.00416,nb GeV^-4,0.00094,+0.000310/-0.000160,Hall A,e-,8.52,p,0.93827208816
138,138,0.367,-0.0316,3.65,277.5,deg,deltad4SigLU,-0.00338,nb GeV^-4,0.00099,+0.000210/-0.000310,Hall A,e-,8.52,p,0.93827208816
139,139,0.367,-0.0316,3.65,292.5,deg,deltad4SigLU,-0.00476,nb GeV^-4,0.001,+0.000390/-0.000280,Hall A,e-,8.52,p,0.93827208816
140,140,0.367,-0.0316,3.65,307.5,deg,deltad4SigLU,-0.00303,nb GeV^-4,0.001,+0.000310/-0.000380,Hall A,e-,8.52,p,0.93827208816
141,141,0.367,-0.0316,3.65,322.5,deg,deltad4SigLU,-0.00333,nb GeV^-4,0.0011,+0.000330/-0.000340,Hall A,e-,8.52,p,0.93827208816
142,142,0.367,-0.0316,3.65,337.5,deg,deltad4SigLU,0.000695,nb GeV^-4,0.0011,+0.000330/-0.000590,Hall A,e-,8.52,p,0.93827208816
143,143,0.367,-0.0316,3.65,352.5,deg,deltad4SigLU,0.00406,nb GeV^-4,0.0015,+0.000680/-0.000500,Hall A,e-,8.52,p,0.93827208816
144,144,0.367,-0.0928,3.65,7.5,deg,deltad4SigLU,0.000105,nb GeV^-4,0.001,+0.000160/-0.000290,Hall A,e-,8.52,p,0.93827208816
145,145,0.367,-0.0928,3.65,22.5,deg,deltad4SigLU,0.000336,nb GeV^-4,0.001,+0.000770/-0.000180,Hall A,e-,8.52,p,0.93827208816
146,146,0.367,-0.0928,3.65,37.5,deg,deltad4SigLU,0.00407,nb GeV^-4,0.00096,+0.000490/-0.000250,Hall A,e-,8.52,p,0.93827208816
147,147,0.367,-0.0928,3.65,52.5,deg,deltad4SigLU,0.00455,nb GeV^-4,0.0009,+0.000170/-0.000470,Hall A,e-,8.52,p,0.93827208816
148,148,0.367,-0.0928,3.65,67.5,deg,deltad4SigLU,0.00522,nb GeV^-4,0.00085,+0.000280/-0.000260,Hall A,e-,8.52,p,0.93827208816
149,149,0.367,-0.0928,3.65,82.5,deg,deltad4SigLU,0.00454,nb GeV^-4,0.00075,+0.000200/-0.000190,Hall A,e-,8.52,p,0.93827208816
150,150,0.367,-0.0928,3.65,97.5,deg,deltad4SigLU,0.00418,nb GeV^-4,0.00071,+0.000490/-0.000180,Hall A,e-,8.52,p,0.93827208816
151,151,0.367,-0.0928,3.65,112.5,deg,deltad4SigLU,0.00322,nb GeV^-4,0.00063,+0.000120/-0.000270,Hall A,e-,8.52,p,0.93827208816
152,152,0.367,-0.0928,3.65,127.5,deg,deltad4SigLU,0.00184,nb GeV^-4,0.00063,+0.000330/-0.000099,Hall A,e-,8.52,p,0.93827208816
153,153,0.367,-0.0928,3.65,142.5,deg,deltad4SigLU,0.00216,nb GeV^-4,0.00057,+0.000220/-0.000280,Hall A,e-,8.52,p,0.93827208816
154,154,0.367,-0.0928,3.65,157.5,deg,deltad4SigLU,0.000844,nb GeV^-4,0.00051,+0.000110/-0.000270,Hall A,e-,8.52,p,0.93827208816
155,155,0.367,-0.0928,3.65,172.5,deg,deltad4SigLU,0.000141,nb GeV^-4,0.00046,+0.000190/-0.000120,Hall A,e-,8.52,p,0.93827208816
156,156,0.367,-0.0928,3.65,187.5,deg,deltad4SigLU,-0.000404,nb GeV^-4,0.00065,+0.000190/-0.000120,Hall A,e-,8.52,p,0.93827208816
157,157,0.367,-0.0928,3.65,202.5,deg,deltad4SigLU,-0.000867,nb GeV^-4,0.00062,+0.000250/-0.000057,Hall A,e-,8.52,p,0.93827208816
158,158,0.367,-0.0928,3.65,217.5,deg,deltad4SigLU,-0.00193,nb GeV^-4,0.00063,+0.000080/-0.000310,Hall A,e-,8.52,p,0.93827208816
159,159,0.367,-0.0928,3.65,232.5,deg,deltad4SigLU,-0.00231,nb GeV^-4,0.00064,+0.000430/-0.000100,Hall A,e-,8.52,p,0.93827208816
