,E_lepton,E_hadron,lepton,hadron,col,t,Q2,xB,phi,deg/rad,bin,obs,value,units,stat_u,Sys. Err. High,Sys. Err. Low,syst_u
61,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,45,deg,5,d4SigUU,18.9886,pb GeV^-4,4.68806,5.13918,6.09174,6.09174
62,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,75,deg,5,d4SigUU,10.884,pb GeV^-4,3.10852,3.97341,4.21786,4.21786
63,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,105,deg,5,d4SigUU,15.9598,pb GeV^-4,3.7011,3.34241,3.64578,3.64578
64,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,135,deg,5,d4SigUU,10.8028,pb GeV^-4,3.59026,2.79919,2.89563,2.89563
65,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,165,deg,5,d4SigUU,17.3868,pb GeV^-4,3.86437,6.18441,6.16879,6.18441
66,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,195,deg,5,d4SigUU,7.9187,pb GeV^-4,2.71484,3.76301,3.21722,3.76301
67,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,225,deg,5,d4SigUU,12.0992,pb GeV^-4,3.34047,3.06748,3.18174,3.18174
68,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,255,deg,5,d4SigUU,9.76586,pb GeV^-4,3.36039,1.93682,2.9007,2.9007
69,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,285,deg,5,d4SigUU,28.3084,pb GeV^-4,4.9247,9.00567,9.30685,9.30685
70,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,315,deg,5,d4SigUU,25.7737,pb GeV^-4,5.52837,6.47727,7.49175,7.49175
71,5.55,0.939565422,e-,n,JLab E08-025,-0.32,1.74,0.36,345,deg,5,d4SigUU,25.8477,pb GeV^-4,8.57404,9.07725,12.6618,12.6618
72,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,15,deg,6,d4SigUU,10.5128,pb GeV^-4,7.62892,11.4528,8.41373,11.4528
73,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,45,deg,6,d4SigUU,14.1758,pb GeV^-4,4.39049,6.12733,4.65952,6.12733
74,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,75,deg,6,d4SigUU,11.2011,pb GeV^-4,2.83251,5.59278,5.57475,5.59278
75,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,105,deg,6,d4SigUU,13.9955,pb GeV^-4,3.27142,3.78099,3.63261,3.78099
76,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,135,deg,6,d4SigUU,7.08483,pb GeV^-4,2.39831,1.3453,1.25663,1.3453
77,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,165,deg,6,d4SigUU,16.7697,pb GeV^-4,4.47227,4.01774,4.50612,4.50612
78,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,195,deg,6,d4SigUU,12.3528,pb GeV^-4,3.24085,2.62001,2.81689,2.81689
79,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,225,deg,6,d4SigUU,16.1324,pb GeV^-4,3.93964,2.57891,2.70352,2.70352
80,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,255,deg,6,d4SigUU,26.0633,pb GeV^-4,4.52548,5.20661,5.3983,5.3983
81,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,285,deg,6,d4SigUU,12.1237,pb GeV^-4,3.01531,5.06473,5.14061,5.14061
82,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,315,deg,6,d4SigUU,21.8353,pb GeV^-4,5.16209,6.96664,5.32868,6.96664
83,5.55,0.939565422,e-,n,JLab E08-025,-0.25,1.75,0.36,345,deg,6,d4SigUU,8.57859,pb GeV^-4,5.4634,8.01109,5.85933,8.01109
84,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,15,deg,7,d4SigUU,42.6841,pb GeV^-4,10.2651,21.8691,23.102,23.102
85,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,45,deg,7,d4SigUU,33.5083,pb GeV^-4,6.86984,12.1661,12.0356,12.1661
86,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,75,deg,7,d4SigUU,24.8989,pb GeV^-4,5.13408,19.4845,19.3147,19.4845
87,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,105,deg,7,d4SigUU,26.5537,pb GeV^-4,6.05554,15.5326,15.6427,15.6427
88,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,135,deg,7,d4SigUU,16.5109,pb GeV^-4,6.05113,8.77417,8.70249,8.77417
89,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,165,deg,7,d4SigUU,5.95474,pb GeV^-4,5.16475,13.3509,13.1047,13.3509
90,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,195,deg,7,d4SigUU,22.1234,pb GeV^-4,7.3888,18.7384,18.5449,18.7384
91,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,225,deg,7,d4SigUU,22.6585,pb GeV^-4,6.92441,10.0108,9.90932,10.0108
92,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,255,deg,7,d4SigUU,26.6215,pb GeV^-4,6.45375,16.616,16.7097,16.7097
93,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,285,deg,7,d4SigUU,20.669,pb GeV^-4,4.86368,14.5959,14.4555,14.5959
94,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,315,deg,7,d4SigUU,24.3668,pb GeV^-4,6.09201,11.6442,11.6229,11.6442
95,5.55,0.939565422,e-,n,JLab E08-025,-0.18,1.75,0.36,345,deg,7,d4SigUU,36.4676,pb GeV^-4,9.08082,19.1987,20.0302,20.0302
