,xB,t,Q2,phi,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
52,0.125,-0.261,1.13,127.2,deg,deltad4SigLU,-0.0267293,nb GeV^-4,0.043645,0.0487724,CLAS,e-,5.88,p,0.93827208816
53,0.125,-0.261,1.13,142.3,deg,deltad4SigLU,0.116842,nb GeV^-4,0.0417098,0.022097,CLAS,e-,5.88,p,0.93827208816
54,0.125,-0.261,1.131,157.4,deg,deltad4SigLU,0.0264656,nb GeV^-4,0.028608,0.00678316,CLAS,e-,5.88,p,0.93827208816
55,0.125,-0.261,1.131,172.5,deg,deltad4SigLU,-0.0150625,nb GeV^-4,0.0305896,0.0115829,CLAS,e-,5.88,p,0.93827208816
56,0.125,-0.261,1.131,187.5,deg,deltad4SigLU,0.0928351,nb GeV^-4,0.0388139,0.045109,CLAS,e-,5.88,p,0.93827208816
57,0.125,-0.261,1.131,202.6,deg,deltad4SigLU,-0.11681,nb GeV^-4,0.0279344,0.014268,CLAS,e-,5.88,p,0.93827208816
58,0.125,-0.261,1.13,217.7,deg,deltad4SigLU,-0.110625,nb GeV^-4,0.0292143,0.0290349,CLAS,e-,5.88,p,0.93827208816
59,0.125,-0.261,1.13,232.8,deg,deltad4SigLU,-0.0827499,nb GeV^-4,0.0317366,0.0185668,CLAS,e-,5.88,p,0.93827208816
60,0.125,-0.261,1.13,247.8,deg,deltad4SigLU,-0.197751,nb GeV^-4,0.0410491,0.0167893,CLAS,e-,5.88,p,0.93827208816
61,0.125,-0.261,1.13,262.9,deg,deltad4SigLU,-0.126299,nb GeV^-4,0.0333616,0.0120863,CLAS,e-,5.88,p,0.93827208816
62,0.125,-0.261,1.13,278.0,deg,deltad4SigLU,-0.160702,nb GeV^-4,0.0448231,0.0287007,CLAS,e-,5.88,p,0.93827208816
63,0.125,-0.262,1.129,293.1,deg,deltad4SigLU,-0.217993,nb GeV^-4,0.0606414,0.0185034,CLAS,e-,5.88,p,0.93827208816
64,0.125,-0.263,1.129,307.9,deg,deltad4SigLU,-0.251275,nb GeV^-4,0.113257,0.194794,CLAS,e-,5.88,p,0.93827208816
65,0.125,-0.34,1.13,51.7,deg,deltad4SigLU,0.217321,nb GeV^-4,0.0549601,0.0296864,CLAS,e-,5.88,p,0.93827208816
66,0.125,-0.34,1.13,66.9,deg,deltad4SigLU,0.106034,nb GeV^-4,0.0372484,0.0117748,CLAS,e-,5.88,p,0.93827208816
67,0.125,-0.34,1.13,82.0,deg,deltad4SigLU,0.0769793,nb GeV^-4,0.0324747,0.0132217,CLAS,e-,5.88,p,0.93827208816
68,0.125,-0.34,1.13,97.1,deg,deltad4SigLU,0.0521081,nb GeV^-4,0.0191482,0.00857316,CLAS,e-,5.88,p,0.93827208816
69,0.125,-0.34,1.131,112.2,deg,deltad4SigLU,0.0425764,nb GeV^-4,0.020359,0.0165982,CLAS,e-,5.88,p,0.93827208816
70,0.125,-0.34,1.131,127.2,deg,deltad4SigLU,0.0222516,nb GeV^-4,0.0203444,0.0119401,CLAS,e-,5.88,p,0.93827208816
71,0.125,-0.34,1.131,142.3,deg,deltad4SigLU,0.0567145,nb GeV^-4,0.0198828,0.0056551,CLAS,e-,5.88,p,0.93827208816
72,0.125,-0.34,1.131,157.4,deg,deltad4SigLU,0.0301141,nb GeV^-4,0.0169682,0.00390867,CLAS,e-,5.88,p,0.93827208816
73,0.125,-0.34,1.131,172.5,deg,deltad4SigLU,0.0197781,nb GeV^-4,0.021713,0.00361411,CLAS,e-,5.88,p,0.93827208816
74,0.125,-0.34,1.131,187.5,deg,deltad4SigLU,-0.0236192,nb GeV^-4,0.0171674,0.0267888,CLAS,e-,5.88,p,0.93827208816
75,0.125,-0.34,1.131,217.7,deg,deltad4SigLU,-0.00271298,nb GeV^-4,0.0209358,0.00288081,CLAS,e-,5.88,p,0.93827208816
76,0.125,-0.34,1.131,232.8,deg,deltad4SigLU,-0.0542602,nb GeV^-4,0.0258304,0.00738555,CLAS,e-,5.88,p,0.93827208816
77,0.125,-0.34,1.131,247.8,deg,deltad4SigLU,-0.0781743,nb GeV^-4,0.0275298,0.044789,CLAS,e-,5.88,p,0.93827208816
78,0.125,-0.34,1.13,262.9,deg,deltad4SigLU,-0.0565681,nb GeV^-4,0.0199852,0.0132623,CLAS,e-,5.88,p,0.93827208816
79,0.125,-0.34,1.13,278.0,deg,deltad4SigLU,-0.125196,nb GeV^-4,0.0307168,0.013234,CLAS,e-,5.88,p,0.93827208816
80,0.125,-0.34,1.13,293.1,deg,deltad4SigLU,-0.20185,nb GeV^-4,0.0382312,0.0272889,CLAS,e-,5.88,p,0.93827208816
81,0.125,-0.34,1.13,308.3,deg,deltad4SigLU,-0.171549,nb GeV^-4,0.05297,0.0231183,CLAS,e-,5.88,p,0.93827208816
82,0.125,-0.451,1.126,37.5,deg,deltad4SigLU,0.0217206,nb GeV^-4,0.0693321,0.0142154,CLAS,e-,5.88,p,0.93827208816
83,0.125,-0.446,1.13,51.8,deg,deltad4SigLU,0.0649524,nb GeV^-4,0.0275657,0.00923789,CLAS,e-,5.88,p,0.93827208816
84,0.125,-0.446,1.13,66.9,deg,deltad4SigLU,0.0802902,nb GeV^-4,0.0258591,0.00619721,CLAS,e-,5.88,p,0.93827208816
85,0.125,-0.446,1.131,82.0,deg,deltad4SigLU,0.023001,nb GeV^-4,0.0199189,0.0151861,CLAS,e-,5.88,p,0.93827208816
86,0.125,-0.446,1.131,97.1,deg,deltad4SigLU,0.0354409,nb GeV^-4,0.0126574,0.00881276,CLAS,e-,5.88,p,0.93827208816
87,0.125,-0.446,1.131,112.2,deg,deltad4SigLU,0.0612355,nb GeV^-4,0.0122807,0.00962121,CLAS,e-,5.88,p,0.93827208816
88,0.125,-0.446,1.131,127.2,deg,deltad4SigLU,0.0204974,nb GeV^-4,0.0152361,0.00386266,CLAS,e-,5.88,p,0.93827208816
89,0.125,-0.446,1.131,142.3,deg,deltad4SigLU,0.0138845,nb GeV^-4,0.012717,0.00758305,CLAS,e-,5.88,p,0.93827208816
90,0.125,-0.446,1.131,157.4,deg,deltad4SigLU,-0.00998505,nb GeV^-4,0.0121406,0.00352017,CLAS,e-,5.88,p,0.93827208816
91,0.125,-0.446,1.131,172.5,deg,deltad4SigLU,0.00647305,nb GeV^-4,0.0105645,0.00288745,CLAS,e-,5.88,p,0.93827208816
92,0.125,-0.446,1.131,187.5,deg,deltad4SigLU,-0.00259382,nb GeV^-4,0.0120688,0.00630911,CLAS,e-,5.88,p,0.93827208816
93,0.125,-0.446,1.131,202.6,deg,deltad4SigLU,-0.00746204,nb GeV^-4,0.00989468,0.00652844,CLAS,e-,5.88,p,0.93827208816
94,0.125,-0.446,1.131,217.7,deg,deltad4SigLU,-0.0199173,nb GeV^-4,0.013935,0.00328712,CLAS,e-,5.88,p,0.93827208816
95,0.125,-0.446,1.131,232.8,deg,deltad4SigLU,0.00389572,nb GeV^-4,0.0127099,0.00464415,CLAS,e-,5.88,p,0.93827208816
96,0.125,-0.446,1.131,247.8,deg,deltad4SigLU,-0.010778,nb GeV^-4,0.012004,0.00795159,CLAS,e-,5.88,p,0.93827208816
97,0.125,-0.446,1.131,262.9,deg,deltad4SigLU,-0.0369278,nb GeV^-4,0.0141503,0.00356073,CLAS,e-,5.88,p,0.93827208816
