xB,t,Q2,phi,deg/rad,bin,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
0.101,-0.198,1.1,142.4,deg,9,d4SigUU,0.58529,nb GeV^-4,0.10718,0.21191,CLAS,e-,10.6,p,0.938272088
0.101,-0.198,1.1,157.4,deg,9,d4SigUU,0.64178,nb GeV^-4,0.11409,0.24232,CLAS,e-,10.6,p,0.938272088
0.101,-0.198,1.1,172.5,deg,9,d4SigUU,0.66707,nb GeV^-4,0.14775,0.22187,CLAS,e-,10.6,p,0.938272088
0.101,-0.198,1.1,195.1,deg,9,d4SigUU,0.39154,nb GeV^-4,0.078804,0.14483,CLAS,e-,10.6,p,0.938272088
0.1,-0.33,1.101,134.5,deg,10,d4SigUU,0.18766,nb GeV^-4,0.040251,0.07208,CLAS,e-,10.6,p,0.938272088
0.1,-0.33,1.101,157.5,deg,10,d4SigUU,0.21912,nb GeV^-4,0.047887,0.084627,CLAS,e-,10.6,p,0.938272088
0.1,-0.33,1.101,172.5,deg,10,d4SigUU,0.15399,nb GeV^-4,0.041053,0.06754,CLAS,e-,10.6,p,0.938272088
0.1,-0.33,1.101,195.1,deg,10,d4SigUU,0.17685,nb GeV^-4,0.042593,0.070919,CLAS,e-,10.6,p,0.938272088
0.101,-0.516,1.096,57.3,deg,11,d4SigUU,0.3425,nb GeV^-4,0.087105,0.16839,CLAS,e-,10.6,p,0.938272088
0.101,-0.516,1.096,141.8,deg,11,d4SigUU,0.085494,nb GeV^-4,0.020314,0.037918,CLAS,e-,10.6,p,0.938272088
0.101,-0.516,1.096,187.6,deg,11,d4SigUU,0.071511,nb GeV^-4,0.018856,0.031727,CLAS,e-,10.6,p,0.938272088
0.101,-0.516,1.096,265,deg,11,d4SigUU,0.14686,nb GeV^-4,0.027626,0.06378,CLAS,e-,10.6,p,0.938272088
0.101,-0.516,1.096,323.6,deg,11,d4SigUU,0.6013,nb GeV^-4,0.13382,0.24772,CLAS,e-,10.6,p,0.938272088
0.11,-0.648,1.103,20.8,deg,12,d4SigUU,2.2581,nb GeV^-4,0.7078,1.1203,CLAS,e-,10.6,p,0.938272088
0.11,-0.648,1.103,67.3,deg,12,d4SigUU,0.089939,nb GeV^-4,0.027197,0.036279,CLAS,e-,10.6,p,0.938272088
0.11,-0.648,1.103,164.1,deg,12,d4SigUU,0.036937,nb GeV^-4,0.013707,0.016504,CLAS,e-,10.6,p,0.938272088
0.11,-0.648,1.103,275,deg,12,d4SigUU,0.075643,nb GeV^-4,0.021094,0.027495,CLAS,e-,10.6,p,0.938272088
0.101,-0.129,1.335,119.2,deg,13,d4SigUU,1.5997,nb GeV^-4,0.26417,0.55671,CLAS,e-,10.6,p,0.938272088
0.101,-0.129,1.335,142.4,deg,13,d4SigUU,0.77398,nb GeV^-4,0.14295,0.30206,CLAS,e-,10.6,p,0.938272088
0.101,-0.129,1.335,164.8,deg,13,d4SigUU,0.77191,nb GeV^-4,0.12352,0.28851,CLAS,e-,10.6,p,0.938272088
0.101,-0.129,1.335,195.1,deg,13,d4SigUU,0.83302,nb GeV^-4,0.18282,0.28254,CLAS,e-,10.6,p,0.938272088
0.1,-0.198,1.337,103.9,deg,14,d4SigUU,1.285,nb GeV^-4,0.31302,0.53338,CLAS,e-,10.6,p,0.938272088
0.1,-0.198,1.337,127.3,deg,14,d4SigUU,0.74411,nb GeV^-4,0.085487,0.24347,CLAS,e-,10.6,p,0.938272088
0.1,-0.198,1.337,142.4,deg,14,d4SigUU,0.66551,nb GeV^-4,0.058176,0.22092,CLAS,e-,10.6,p,0.938272088
0.1,-0.198,1.337,157.4,deg,14,d4SigUU,0.46881,nb GeV^-4,0.043691,0.16846,CLAS,e-,10.6,p,0.938272088
0.1,-0.198,1.337,172.5,deg,14,d4SigUU,0.57261,nb GeV^-4,0.064589,0.18647,CLAS,e-,10.6,p,0.938272088
0.1,-0.198,1.337,187.5,deg,14,d4SigUU,0.60291,nb GeV^-4,0.082362,0.21113,CLAS,e-,10.6,p,0.938272088
0.1,-0.198,1.337,202.5,deg,14,d4SigUU,0.55468,nb GeV^-4,0.10525,0.19225,CLAS,e-,10.6,p,0.938272088
