,xB,t,Q2,phi,bin,deg/rad,obs,value,units,stat_u,syst_u,col,lepton,E_lepton,hadron,E_hadron
74,0.125,-0.34,1.131,187.5,4,deg,d4SigUU,0.191583,nb GeV^-4,0.0206747,0.0379855,CLAS,e-,5.88,p,0.938272088
75,0.125,-0.34,1.131,217.7,4,deg,d4SigUU,0.293611,nb GeV^-4,0.0265269,0.0178094,CLAS,e-,5.88,p,0.938272088
76,0.125,-0.34,1.131,232.8,4,deg,d4SigUU,0.333625,nb GeV^-4,0.0321128,0.0336783,CLAS,e-,5.88,p,0.938272088
77,0.125,-0.34,1.131,247.8,4,deg,d4SigUU,0.341955,nb GeV^-4,0.0342719,0.0277578,CLAS,e-,5.88,p,0.938272088
78,0.125,-0.34,1.13,262.9,4,deg,d4SigUU,0.371941,nb GeV^-4,0.025089,0.0277056,CLAS,e-,5.88,p,0.938272088
79,0.125,-0.34,1.13,278,4,deg,d4SigUU,0.695075,nb GeV^-4,0.0400256,0.0448194,CLAS,e-,5.88,p,0.938272088
80,0.125,-0.34,1.13,293.1,4,deg,d4SigUU,0.963737,nb GeV^-4,0.0495937,0.0655101,CLAS,e-,5.88,p,0.938272088
81,0.125,-0.34,1.13,308.3,4,deg,d4SigUU,1.22134,nb GeV^-4,0.0695217,0.0814237,CLAS,e-,5.88,p,0.938272088
82,0.125,-0.451,1.126,37.5,5,deg,d4SigUU,1.41373,nb GeV^-4,0.0928492,0.0944686,CLAS,e-,5.88,p,0.938272088
83,0.125,-0.446,1.13,51.8,5,deg,d4SigUU,0.817795,nb GeV^-4,0.0369567,0.0509095,CLAS,e-,5.88,p,0.938272088
84,0.125,-0.446,1.13,66.9,5,deg,d4SigUU,0.496174,nb GeV^-4,0.0333689,0.032749,CLAS,e-,5.88,p,0.938272088
85,0.125,-0.446,1.131,82,5,deg,d4SigUU,0.307991,nb GeV^-4,0.0248439,0.0292446,CLAS,e-,5.88,p,0.938272088
86,0.125,-0.446,1.131,97.1,5,deg,d4SigUU,0.218145,nb GeV^-4,0.01602,0.0176416,CLAS,e-,5.88,p,0.938272088
87,0.125,-0.446,1.131,112.2,5,deg,d4SigUU,0.188129,nb GeV^-4,0.0146499,0.0199989,CLAS,e-,5.88,p,0.938272088
88,0.125,-0.446,1.131,127.2,5,deg,d4SigUU,0.179253,nb GeV^-4,0.0188259,0.0132623,CLAS,e-,5.88,p,0.938272088
89,0.125,-0.446,1.131,142.3,5,deg,d4SigUU,0.136888,nb GeV^-4,0.0154402,0.0153123,CLAS,e-,5.88,p,0.938272088
90,0.125,-0.446,1.131,157.4,5,deg,d4SigUU,0.153828,nb GeV^-4,0.015122,0.0115283,CLAS,e-,5.88,p,0.938272088
91,0.125,-0.446,1.131,172.5,5,deg,d4SigUU,0.133635,nb GeV^-4,0.0132071,0.0114296,CLAS,e-,5.88,p,0.938272088
92,0.125,-0.446,1.131,187.5,5,deg,d4SigUU,0.118516,nb GeV^-4,0.014544,0.0116298,CLAS,e-,5.88,p,0.938272088
93,0.125,-0.446,1.131,202.6,5,deg,d4SigUU,0.108608,nb GeV^-4,0.0115807,0.0110748,CLAS,e-,5.88,p,0.938272088
94,0.125,-0.446,1.131,217.7,5,deg,d4SigUU,0.176032,nb GeV^-4,0.0173846,0.0163141,CLAS,e-,5.88,p,0.938272088
95,0.125,-0.446,1.131,232.8,5,deg,d4SigUU,0.151473,nb GeV^-4,0.0151737,0.0110768,CLAS,e-,5.88,p,0.938272088
96,0.125,-0.446,1.131,247.8,5,deg,d4SigUU,0.145533,nb GeV^-4,0.0145597,0.0124714,CLAS,e-,5.88,p,0.938272088
97,0.125,-0.446,1.131,262.9,5,deg,d4SigUU,0.228118,nb GeV^-4,0.0176657,0.0165579,CLAS,e-,5.88,p,0.938272088
98,0.125,-0.446,1.131,278,5,deg,d4SigUU,0.293826,nb GeV^-4,0.0185736,0.0190362,CLAS,e-,5.88,p,0.938272088
99,0.125,-0.446,1.13,293.1,5,deg,d4SigUU,0.386997,nb GeV^-4,0.0220016,0.0246834,CLAS,e-,5.88,p,0.938272088
100,0.125,-0.446,1.13,308.2,5,deg,d4SigUU,0.662957,nb GeV^-4,0.0385868,0.0421323,CLAS,e-,5.88,p,0.938272088
101,0.125,-0.451,1.126,322.5,5,deg,d4SigUU,1.39112,nb GeV^-4,0.0997755,0.0852932,CLAS,e-,5.88,p,0.938272088
102,0.125,-0.615,1.125,22.9,6,deg,d4SigUU,0.910076,nb GeV^-4,0.0689247,0.0603692,CLAS,e-,5.88,p,0.938272088
103,0.126,-0.602,1.131,36.7,6,deg,d4SigUU,0.499811,nb GeV^-4,0.0211358,0.0310921,CLAS,e-,5.88,p,0.938272088
104,0.125,-0.603,1.131,51.8,6,deg,d4SigUU,0.352064,nb GeV^-4,0.0192146,0.0227523,CLAS,e-,5.88,p,0.938272088
105,0.125,-0.603,1.131,82,6,deg,d4SigUU,0.155004,nb GeV^-4,0.016645,0.0143458,CLAS,e-,5.88,p,0.938272088
106,0.125,-0.603,1.131,97.1,6,deg,d4SigUU,0.0851452,nb GeV^-4,0.00785534,0.00994675,CLAS,e-,5.88,p,0.938272088
107,0.125,-0.603,1.131,112.1,6,deg,d4SigUU,0.0902671,nb GeV^-4,0.00872615,0.00895172,CLAS,e-,5.88,p,0.938272088
108,0.125,-0.603,1.132,127.2,6,deg,d4SigUU,0.0692883,nb GeV^-4,0.00821155,0.0104882,CLAS,e-,5.88,p,0.938272088
109,0.125,-0.603,1.132,142.3,6,deg,d4SigUU,0.0594447,nb GeV^-4,0.00959979,0.00758292,CLAS,e-,5.88,p,0.938272088
110,0.125,-0.603,1.132,157.4,6,deg,d4SigUU,0.0694979,nb GeV^-4,0.00836366,0.00453562,CLAS,e-,5.88,p,0.938272088
111,0.125,-0.603,1.132,172.5,6,deg,d4SigUU,0.0780492,nb GeV^-4,0.012202,0.00543417,CLAS,e-,5.88,p,0.938272088
112,0.125,-0.603,1.132,187.5,6,deg,d4SigUU,0.0549715,nb GeV^-4,0.0101629,0.00650007,CLAS,e-,5.88,p,0.938272088
113,0.125,-0.603,1.132,202.6,6,deg,d4SigUU,0.0451041,nb GeV^-4,0.00672662,0.00355275,CLAS,e-,5.88,p,0.938272088
