,t_n,t_d,phi,value,stat_u,syst_u_high,syst_u_low,col,obsv,units,target,beam,energy
42,-0.18,-0.15,195,33.6691,8.85288,38.5312,38.1581,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
43,-0.18,-0.15,225,28.518,7.64516,22.3664,22.2478,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
44,-0.18,-0.15,255,43.4966,7.34916,22.9036,23.0282,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
45,-0.18,-0.15,285,57.185,8.10903,41.405,40.5168,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
46,-0.18,-0.15,315,59.6527,11.7449,17.4793,16.0481,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
47,-0.18,-0.15,345,77.6039,16.6349,35.7963,36.8318,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,4.45
48,-0.4,-0.33,15,19.6649,8.3403,4.47684,13.586,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
49,-0.4,-0.33,45,15.4314,4.46866,3.699,6.04069,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
50,-0.4,-0.33,75,14.3022,2.67224,1.89122,2.02944,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
51,-0.4,-0.33,105,8.25763,2.73027,1.94935,1.29343,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
52,-0.4,-0.33,135,2.92917,1.83246,1.3019,0.968604,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
53,-0.4,-0.33,165,9.34889,2.80849,1.68167,2.20648,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
54,-0.4,-0.33,195,10.3409,2.66901,2.11352,2.64143,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
55,-0.4,-0.33,225,8.39732,2.12201,1.18342,1.94406,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
56,-0.4,-0.33,255,15.5517,3.00584,1.87702,3.29109,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
57,-0.4,-0.33,285,17.4739,3.13107,2.50145,1.98951,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
58,-0.4,-0.33,315,16.8339,4.4176,3.27694,4.85456,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
59,-0.4,-0.33,345,5.64666,5.55106,3.5799,10.8534,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
60,-0.32,-0.26,15,16.5013,6.63751,6.85547,9.41782,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
61,-0.32,-0.26,45,18.9886,4.68806,5.13918,6.09174,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
62,-0.32,-0.26,75,10.884,3.10852,3.97341,4.21786,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
63,-0.32,-0.26,105,15.9598,3.7011,3.34241,3.64578,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
64,-0.32,-0.26,135,10.8028,3.59026,2.79919,2.89563,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
65,-0.32,-0.26,165,17.3868,3.86437,6.18441,6.16879,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
66,-0.32,-0.26,195,7.9187,2.71484,3.76301,3.21722,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
67,-0.32,-0.26,225,12.0992,3.34047,3.06748,3.18174,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
68,-0.32,-0.26,255,9.76586,3.36039,1.93682,2.9007,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
69,-0.32,-0.26,285,28.3084,4.9247,9.00567,9.30685,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
70,-0.32,-0.26,315,25.7737,5.52837,6.47727,7.49175,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
71,-0.32,-0.26,345,25.8477,8.57404,9.07725,12.6618,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
72,-0.25,-0.2,15,10.5128,7.62892,11.4528,8.41373,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
73,-0.25,-0.2,45,14.1758,4.39049,6.12733,4.65952,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
74,-0.25,-0.2,75,11.2011,2.83251,5.59278,5.57475,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
75,-0.25,-0.2,105,13.9955,3.27142,3.78099,3.63261,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
76,-0.25,-0.2,135,7.08483,2.39831,1.3453,1.25663,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
77,-0.25,-0.2,165,16.7697,4.47227,4.01774,4.50612,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
78,-0.25,-0.2,195,12.3528,3.24085,2.62001,2.81689,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
79,-0.25,-0.2,225,16.1324,3.93964,2.57891,2.70352,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
80,-0.25,-0.2,255,26.0633,4.52548,5.20661,5.3983,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
81,-0.25,-0.2,285,12.1237,3.01531,5.06473,5.14061,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
82,-0.25,-0.2,315,21.8353,5.16209,6.96664,5.32868,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
83,-0.25,-0.2,345,8.57859,5.4634,8.01109,5.85933,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
84,-0.18,-0.15,15,42.6841,10.2651,21.8691,23.102,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
85,-0.18,-0.15,45,33.5083,6.86984,12.1661,12.0356,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
86,-0.18,-0.15,75,24.8989,5.13408,19.4845,19.3147,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
87,-0.18,-0.15,105,26.5537,6.05554,15.5326,15.6427,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
88,-0.18,-0.15,135,16.5109,6.05113,8.77417,8.70249,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
89,-0.18,-0.15,165,5.95474,5.16475,13.3509,13.1047,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
90,-0.18,-0.15,195,22.1234,7.3888,18.7384,18.5449,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
91,-0.18,-0.15,225,22.6585,6.92441,10.0108,9.90932,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
92,-0.18,-0.15,255,26.6215,6.45375,16.616,16.7097,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
93,-0.18,-0.15,285,20.669,4.86368,14.5959,14.4555,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
94,-0.18,-0.15,315,24.3668,6.09201,11.6442,11.6229,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
95,-0.18,-0.15,345,36.4676,9.08082,19.1987,20.0302,Jlab,d^4sigma_n,GeV^(-4),neutron,e+/e-,5.55
