,t_n,t_d,phi,value,stat_u,syst_u_high,syst_u_low,col,obsv,units,target,beam,energy
77,-0.25,-0.2,165,28.822,8.73277,7.99177,8.92898,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
78,-0.25,-0.2,195,12.3189,5.27671,4.81858,5.28108,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
79,-0.25,-0.2,225,21.1628,7.106,4.61953,4.47881,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
80,-0.25,-0.2,255,17.1442,7.22607,9.96266,9.32023,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
81,-0.25,-0.2,285,24.2352,6.02895,10.1293,10.2806,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
82,-0.25,-0.2,315,29.1968,9.34439,13.6473,10.3352,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
83,-0.25,-0.2,345,47.1916,13.3355,16.282,12.2392,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
84,-0.18,-0.15,15,2.41604,17.673,42.0758,44.5106,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
85,-0.18,-0.15,45,1.70747,9.91299,21.7329,21.5852,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
86,-0.18,-0.15,75,22.0429,8.37912,37.9054,37.5361,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
87,-0.18,-0.15,105,28.6404,11.1691,30.6318,30.84,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
88,-0.18,-0.15,135,37.6987,12.311,17.5856,17.4614,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
89,-0.18,-0.15,165,45.6601,12.3741,28.0636,27.554,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
90,-0.18,-0.15,195,34.7454,14.4646,37.1046,36.6097,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
91,-0.18,-0.15,225,34.7857,13.4662,19.905,19.6891,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
92,-0.18,-0.15,255,34.5536,12.143,32.9283,33.1334,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
93,-0.18,-0.15,285,11.1316,6.11151,27.6188,27.3432,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
94,-0.18,-0.15,315,20.722,10.441,22.208,22.0791,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
95,-0.18,-0.15,345,3.50658,15.3943,36.6422,38.7614,Jlab,d^4sigma_d,GeV^(-4),deuteron,e+/e-,5.55
