,x_B,Q^2,t,phi,value,stat_u,syst_u (upper limit),syst_u (lower limit),col,obs,units,target,beam,RS
54,0.365,3.18,-0.216,97.5,0.00347,0.00089,0.00025,-0.00028,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
55,0.365,3.18,-0.216,112.5,0.00427,0.0008,0.00018,-0.00031,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
56,0.365,3.18,-0.216,127.5,0.00154,0.00076,0.0004,-0.00019,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
57,0.365,3.18,-0.216,142.5,0.00146,0.00072,0.00021,-0.00017,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
58,0.365,3.18,-0.216,157.5,0.00102,0.00072,0.00017,-0.00015,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
59,0.365,3.18,-0.216,172.5,-0.00019,0.00075,0.00036,-0.00016,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
60,0.365,3.18,-0.216,187.5,0.000214,0.00068,0.00028,-0.00019,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
61,0.365,3.18,-0.216,202.5,-0.000375,0.00077,0.00021,-0.00044,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
62,0.365,3.18,-0.216,217.5,-0.000563,0.00074,0.00016,-0.00038,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
63,0.365,3.18,-0.216,232.5,-0.00159,0.00079,0.00016,-0.00024,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
64,0.365,3.18,-0.216,247.5,-0.0031,0.00087,0.00015,-0.00048,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
65,0.365,3.18,-0.216,262.5,-0.00297,0.00097,0.00038,-0.00019,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
66,0.365,3.18,-0.216,277.5,-0.0047,0.0011,0.00055,-0.00063,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
67,0.365,3.18,-0.216,292.5,-0.00912,0.0013,0.0004,-0.00046,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
68,0.365,3.18,-0.216,307.5,-0.00793,0.0015,0.00077,-0.00072,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
69,0.365,3.18,-0.216,322.5,-0.00638,0.0017,0.00079,-0.00032,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
70,0.365,3.18,-0.216,337.5,-0.00579,0.0022,0.00054,-0.00069,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
71,0.365,3.18,-0.216,352.5,-0.00337,0.0027,0.00067,-0.0014,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
72,0.365,3.18,-0.302,7.5,0.00622,0.0062,0.0018,-0.0018,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
73,0.365,3.18,-0.302,22.5,0.0049,0.0038,0.0018,-0.00052,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
74,0.365,3.18,-0.302,37.5,0.00315,0.0021,0.0014,-0.00012,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
75,0.365,3.18,-0.302,52.5,0.00603,0.0015,0.00022,-0.00096,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
76,0.365,3.18,-0.302,67.5,0.0036,0.0012,0.00046,-0.00088,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
77,0.365,3.18,-0.302,82.5,0.00316,0.001,0.00042,-0.00021,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
78,0.365,3.18,-0.302,97.5,0.00298,0.0009,0.00021,-0.00043,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
79,0.365,3.18,-0.302,112.5,0.00239,0.00078,0.00024,-0.00017,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
80,0.365,3.18,-0.302,127.5,0.00154,0.00071,0.00014,-0.0002,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
81,0.365,3.18,-0.302,142.5,0.00127,0.0007,0.00036,-0.00036,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
82,0.365,3.18,-0.302,157.5,0.000259,0.00072,0.00027,-8.1e-05,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
83,0.365,3.18,-0.302,172.5,0.00069,0.00083,0.00041,-0.00016,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
84,0.365,3.18,-0.302,187.5,-0.000246,0.00077,0.00046,-6.1e-05,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
85,0.365,3.18,-0.302,202.5,-0.00114,0.0008,0.00022,-0.00055,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
86,0.365,3.18,-0.302,217.5,-0.0011,0.00077,0.00027,-0.00029,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
87,0.365,3.18,-0.302,232.5,-0.00143,0.00074,0.00028,-0.00015,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
88,0.365,3.18,-0.302,247.5,-0.00243,0.0008,0.0003,-0.00014,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
89,0.365,3.18,-0.302,262.5,-0.00166,0.0009,0.00041,-0.00037,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
90,0.365,3.18,-0.302,277.5,-0.00468,0.0011,0.00039,-0.00033,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
91,0.365,3.18,-0.302,292.5,-0.00477,0.0013,0.00037,-0.00058,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
92,0.365,3.18,-0.302,307.5,-0.005,0.0016,0.0007,-0.00069,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
93,0.365,3.18,-0.302,322.5,-0.00184,0.002,0.00045,-0.00097,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
94,0.365,3.18,-0.302,337.5,-0.00514,0.0034,0.0019,-0.0013,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
95,0.365,3.18,-0.302,352.5,0.00291,0.0056,0.0011,-0.0036,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
96,0.364,3.18,-0.418,7.5,-0.0101,0.026,0.00088,-0.0031,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
97,0.364,3.18,-0.418,22.5,0.00438,0.0097,0.0034,-0.00086,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
98,0.364,3.18,-0.418,37.5,0.00551,0.0025,0.00083,-0.0017,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
99,0.364,3.18,-0.418,52.5,0.00222,0.0013,0.00039,-0.00041,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
100,0.364,3.18,-0.418,67.5,0.00325,0.00097,0.00013,-0.00048,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
101,0.364,3.18,-0.418,82.5,0.00158,0.00084,0.00039,-0.00043,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
102,0.364,3.18,-0.418,97.5,0.000356,0.00071,0.00018,-0.00018,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
103,0.364,3.18,-0.418,112.5,0.000877,0.00058,0.00021,-0.00029,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
104,0.364,3.18,-0.418,127.5,0.000681,0.00049,2.7e-05,-0.0003,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
105,0.364,3.18,-0.418,142.5,0.00116,0.00054,0.0001,-0.00027,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
106,0.364,3.18,-0.418,157.5,0.000946,0.00073,5.3e-05,-0.00033,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
107,0.364,3.18,-0.418,172.5,0.000471,0.00087,0.00079,-0.00034,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
108,0.364,3.18,-0.418,187.5,-0.000234,0.00093,0.00018,-0.00033,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
109,0.364,3.18,-0.418,202.5,-0.00148,0.00077,0.00053,-0.00018,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
110,0.364,3.18,-0.418,217.5,-0.00111,0.00059,0.00023,-0.00012,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
111,0.364,3.18,-0.418,232.5,-0.00032,0.00056,0.00021,-0.00026,Jlab,HelicityDepCrossSection,nb/GeV^4,Proton,e-,
